Rank,Player,2022/23,2022/23(*)
431.,Ayo Dosunmu,"$1,563,518","$1,657,779"
431.,Isaiah Livers,"$1,563,518","$1,657,779"
431.,Daishen Nix,"$1,563,518","$1,657,779"
431.,Jason Preston,"$1,563,518","$1,657,779"
431.,BJ Boston,"$1,563,518","$1,657,779"
431.,Austin Reaves,"$1,563,518","$1,657,779"
431.,Jose Alvarado,"$1,563,518","$1,657,779"
431.,Miles McBride,"$1,563,518","$1,657,779"
431.,Aaron Wiggins,"$1,563,518","$1,657,779"
431.,Jock Landale,"$1,563,518","$1,657,779"
431.,Greg Brown,"$1,563,518","$1,657,779"
431.,Trendon Watford,"$1,563,518","$1,657,779"
431.,Dalano Banton,"$1,563,518","$1,657,779"
447.,Kenneth Lofton,"$1,505,966","$1,596,757"
448.,Christian Koloko,"$1,500,000","$1,590,432"
449.,Bryce McGowens,"$1,461,055","$1,549,139"
450.,Eric Bledsoe,"$1,300,000","$1,378,374"
451.,Jordan Goodwin,"$1,280,206","$1,357,387"
452.,Kennedy Chandler,"$1,200,000","$1,272,345"
453.,Noah Vonleh,"$1,160,955","$1,230,946"
454.,Sandro Mamukelashvili,"$1,116,112","$1,183,400"
455.,Sam Merrill,"$1,105,522","$1,172,171"
456.,Zhaire Smith,"$1,068,200","$1,132,599"
457.,Tyrese Martin,"$1,017,781","$1,079,140"
457.,Jaden Hardy,"$1,017,781","$1,079,140"
457.,Ryan Rollins,"$1,017,781","$1,079,140"
457.,Max Christie,"$1,017,781","$1,079,140"
457.,Josh Minott,"$1,017,781","$1,079,140"
457.,Jabari Walker,"$1,017,781","$1,079,140"
463.,Eugene Omoruyi,"$1,013,119","$1,074,197"
464.,Kris Dunn,"$1,000,001","$1,060,289"
465.,Kyle Singler,"$999,200","$1,059,439"
466.,Ishmail Wainright,"$980,057","$1,039,142"
467.,Admiral Schofield,"$877,940","$930,869"
468.,Justin Champagnie,"$853,241","$904,680"
469.,Trevelin Queen,"$838,891","$889,466"
470.,Moses Brown,"$824,041","$873,720"
471.,Matt Ryan,"$806,097","$854,694"
472.,DaQuan Jeffries,"$799,403","$847,597"
473.,PJ Dozier,"$784,654","$831,959"
474.,Cody Zeller,"$743,922","$788,771"
475.,Meyers Leonard,"$713,558","$756,576"
476.,Nik Stauskas,"$702,311","$744,651"
477.,Anthony Lamb,"$694,878","$736,770"
478.,Michael Carter-Williams,"$652,829","$692,186"
479.,DJ Augustin,"$633,938","$672,156"
480.,Duane Washington Jr,"$628,802","$666,711"
481.,Carlik Jones,"$612,162","$649,068"
482.,Juwan Morgan,"$576,230","$610,969"
483.,Malik Fitts,"$555,217","$588,689"
484.,Luka Samanic,"$538,317","$570,771"
485.,David Duke,"$531,283","$563,312"
486.,Trevor Keels,"$520,589","$551,974"
487.,Dereon Seabron,"$511,816","$542,672"
488.,Trent Forrest,"$508,891","$539,571"
488.,Mfiondu Kabengele,"$508,891","$539,571"
488.,JD Davison,"$508,891","$539,571"
488.,Malcolm Hill,"$508,891","$539,571"
488.,Mamadi Diakite,"$508,891","$539,571"
488.,Isaiah Mobley,"$508,891","$539,571"
488.,McKinley Wright,"$508,891","$539,571"
488.,Jack White,"$508,891","$539,571"
488.,Collin Gillespie,"$508,891","$539,571"
488.,Buddy Boeheim,"$508,891","$539,571"
488.,Darius Days,"$508,891","$539,571"
488.,Trevor Hudgins,"$508,891","$539,571"
488.,Kendall Brown,"$508,891","$539,571"
488.,Moussa Diabate,"$508,891","$539,571"
488.,Scottie Pippen Jr,"$508,891","$539,571"
488.,Cole Swider,"$508,891","$539,571"
488.,Vince Williams Jr,"$508,891","$539,571"
488.,Jamal Cain,"$508,891","$539,571"
488.,AJ Green,"$508,891","$539,571"
488.,Luka Garza,"$508,891","$539,571"
488.,EJ Liddell,"$508,891","$539,571"
488.,Kevon Harris,"$508,891","$539,571"
